IMBD title ID,Original titl�,Release year,Genr�,Duration,Country,Content Rating,Director,Income, Votes ,Score
tt0111161,The Shawshank Redemption,1995.0,Drama,142.0,USA,R,Frank Darabont,28815245.0,2278845.0,9.3
tt0068646,The Godfather,1972.0,"Crime, Drama",175.0,USA,R,Francis Ford Coppola,246120974.0,1572674.0,9.2
tt0468569,The Dark Knight,2008.0,"Action, Crime, Drama",152.0,USA,PG-13,Christopher Nolan,1005455211.0,2241615.0,9.0
tt0071562,The Godfather: Part II,1975.0,"Crime, Drama",220.0,USA,R,Francis Ford Coppola,,1098714.0,9.0
tt0110912,Pulp Fiction,1994.0,"Crime, Drama",,USA,R,Quentin Tarantino,222831817.0,1780147.0,89.0
tt0167260,The Lord of the Rings: The Return of the King,4.0,"Action, Adventure, Drama",201.0,New Zealand,PG-13,Peter Jackson,1142271098.0,1604280.0,8.9
tt0108052,Schindler's List,1994.0,"Biography, Drama, History",,USA,R,Steven Spielberg,322287794.0,1183248.0,8.9
tt0050083,12 Angry Men,1957.0,"Crime, Drama",96.0,USA,Not Rated,Sidney Lumet,576.0,668473.0,8.9
tt1375666,Inception,2010.0,"Action, Adventure, Sci-Fi",148.0,USA,PG-13,Christopher Nolan,869784991.0,2002816.0,8.8
tt0137523,Fight Club,99.0,Drama,,UK,R,David Fincher,101218804.0,1807440.0,8.8
tt0109830,Forrest Gump,1994.0,"Drama, Romance",142.0,USA,PG-13,Robert Zemeckis,678229452.0,1755490.0,88.0
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2002.0,"Action, Adventure, Drama",,New Zesland,PG-13,Peter Jackson,887934303.0,1619920.0,8.8
tt0060196,"Il buono, il brutto, il cattivo",1966.0,Western,161.0,Italy,Approved,Sergio Leone,25252481.0,672499.0,8.8
,,,,,,R,,,,
tt0133093,The Matrix,1999.0,"Action, Sci-Fi",,USA,R,"Lana Wachowski, Lilly Wachowski",465718588.0,1632315.0,8.7
tt0167261,The Lord of the Rings: The Two Towers,3.0,"Action, Adventure, Drama",179.0,New Zeland,PG-13,Peter Jackson,951227416.0,1449778.0,
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980.0,"Action, Adventure, Fantasy",,USA,PG,Irvin Kershner,549265501.0,1132073.0,870.0
tt0099685,Goodfellas,1990.0,"Biography, Crime, Drama",146.0,USA,R,Martin Scorsese,46879633.0,991505.0,8.7
tt0073486,One Flew Over the Cuckoo's Nest,1976.0,Drama,,USA,R,Milos Forman,108997629.0,891071.0,8.7
tt0816692,Interstellar,2014.0,"Adventure, Drama, Sci-Fi",169.0,USA,PG-13,Christopher Nolan,696742056.0,1449256.0,8.6
tt0114369,Se7en,1995.0,"Crime, Drama, Mystery",127.0,USA,R,David Fincher,327333559.0,1402015.0,8.6
tt0102926,The Silence of the Lambs,1991.0,"Crime, Drama, Thriller",118.0,USA,R,Jonathan Demme,272753884.0,1234134.0,86.0
tt0076759,Star Wars,1977.0,"Action, Adventure, Fantasy",121.0,USA,PG,George Lucas,775768912.0,1204107.0,8.6
tt0120815,Saving Private Ryan,1998.0,"Drama, War",169.0,USA,R,Steven Spielberg,482349603.0,1203825.0,8.6
tt0120689,The Green Mile,2000.0,"Crime, Drama, Fantasy",189.0,US.,R,Frank Darabont,286801374.0,1112336.0,8.6
tt0317248,Cidade de Deus,2003.0,"Crime, Drama",130.0,Brazil,R,"Fernando Meirelles, Kátia Lund",30680793.0,685856.0,8.6
tt0245429,Sen to Chihiro no kamikakushi,2003.0,"Animation, Adventure, Family",125.0,Japan,PG,Hayao Miyazaki,355467056.0,626693.0,8.6
tt0118799,La vita B9 bella,1997.0,"Comedy, Drama, Romance",116.0,Italy1,R,Roberto Benigni,230098753.0,605648.0,8.6
tt6751668,Gisaengchung,2019.0,"Comedy, Drama, Thriller",132.0,South Korea,R,Bong Joon Ho,257604912.0,470931.0,8.6
tt0038650,It's a Wonderful Life,1948.0,"Drama, Family, Fantasy",130.0,USA,PG,Frank Capra,6130720.0,388310.0,8.6
tt0047478,Shichinin no samurai,1955.0,"Action, Adventure, Drama",207.0,Japan,Unrated,Akira Kurosawa,322773.0,307958.0,8.6
tt0172495,Gladiator,2000.0,"Action, Adventure, Drama",155.0,USA,R,Ridley Scott,465361176.0,1308193.0,8.5
tt0407887,The Departed,2006.0,"Crime, Drama, Thriller",151.0,USA,R,Martin Scorsese,291465034.0,1159703.0,8.5
tt0482571,The Prestige,2006.0,"Drama, Mystery, Sci-Fi",130.0,UK,PG-13,Christopher Nolan,109676311.0,1155723.0,8.5
tt0088763,Back to the Future,1985.0,"Adventure, Comedy, Sci-Fi",116.0,USA,PG,Robert Zemeckis,388774684.0,1027330.0,8.5
tt0120586,American History X,1999.0,Drama,119.0,USA,R,Tony Kaye,23875127.0,1014218.0,8.5
tt0110413,Léon,1995.0,"Action, Crime, Drama",110.0,France,R,Luc Besson,19552639.0,1007598.0,8.5
tt0103064,Terminator 2: Judgment Day,1991.0,"Action, Sci-Fi",137.0,USA,R,James Cameron,520884847.0,974970.0,8.4
tt0114814,The Usual Suspects,1995.0,"Crime, Mystery, Thriller",106.0,USA,R,Bryan Singer,23341568.0,968947.0,8.4
tt0110357,The Lion King,1994.0,"Animation, Adventure, Drama",88.0,USA,G,"Roger Allers, Rob Minkoff",968511805.0,917248.0,8.4
tt7286456,Joker,2019.0,"Crime, Drama, Thriller",122.0,USA,R,Todd Phillips,1074251311.0,855097.0,8.4
tt1675434,Intouchables,2012.0,"Biography, Comedy, Drama",112.0,France,R,"Olivier Nakache, Éric Toledano",426588510.0,736691.0,8.4
tt0253474,The Pianist,2002.0,"Biography, Drama, Music",150.0,UK,R,Roman Polanski,120072577.0,707942.0,8.4
tt2582802,Whiplash,2015.0,"Drama, Music",106.0,USA,R,Damien Chazelle,48983260.0,690732.0,8.4
tt0054215,Psycho,1960.0,"Horror, Mystery, Thriller",109.0,USA,R,Alfred Hitchcock,32008644.0,586765.0,8.3
tt0034583,Casablanca,46.0,"Drama, Romance, War",102.0,USA,PG,Michael Curtiz,4374761.0,509953.0,8.3
tt0064116,C'era una volta il West,1968.0,Western,165.0,Italy,PG-13,Sergio Leone,112911.0,295220.0,8.3
tt0095327,Hotaru no haka,2015.0,"Animation, Drama, War",89.0,Japan,R,Isao Takahata,516962.0,225438.0,8.3
